match,seed,winner,t,v2_production,v1_production,production_diff,v2_ship_count,v1_ship_count,ship_count_diff,v2_planets,v1_planets
1,0,v2,0,1,1,0,10,10,0,1,1
1,0,v2,1,1,1,0,11,11,0,1,1
1,0,v2,2,1,1,0,12,12,0,1,1
1,0,v2,3,1,1,0,3,13,-10,1,1
1,0,v2,4,1,1,0,4,14,-10,1,1
1,0,v2,5,1,1,0,5,15,-10,1,1
1,0,v2,6,1,1,0,6,16,-10,1,1
1,0,v2,7,1,1,0,7,17,-10,1,1
1,0,v2,8,1,1,0,8,18,-10,1,1
1,0,v2,9,1,1,0,9,19,-10,1,1
1,0,v2,10,1,1,0,10,20,-10,1,1
1,0,v2,11,1,1,0,11,21,-10,1,1
1,0,v2,12,1,1,0,12,22,-10,1,1
1,0,v2,13,1,1,0,13,23,-10,1,1
1,0,v2,14,1,1,0,14,24,-10,1,1
1,0,v2,15,1,1,0,15,25,-10,1,1
1,0,v2,16,1,1,0,16,26,-10,1,1
1,0,v2,17,1,2,-1,17,19,-2,1,2
1,0,v2,18,1,2,-1,18,21,-3,1,2
1,0,v2,19,1,2,-1,19,23,-4,1,2
1,0,v2,20,1,2,-1,20,25,-5,1,2
1,0,v2,21,1,2,-1,21,27,-6,1,2
1,0,v2,22,1,2,-1,22,29,-7,1,2
1,0,v2,23,4,2,2,13,31,-18,2,2
1,0,v2,24,5,2,3,9,33,-24,3,2
1,0,v2,25,5,3,2,14,26,-12,3,3
1,0,v2,26,5,3,2,19,29,-10,3,3
1,0,v2,27,5,3,2,24,32,-8,3,3
1,0,v2,28,5,3,2,29,35,-6,3,3
1,0,v2,29,5,3,2,34,38,-4,3,3
1,0,v2,30,5,3,2,39,41,-2,3,3
1,0,v2,31,5,3,2,44,44,0,3,3
1,0,v2,32,5,3,2,49,47,2,3,3
1,0,v2,33,5,3,2,54,50,4,3,3
1,0,v2,34,5,3,2,59,53,6,3,3
1,0,v2,35,5,3,2,60,56,4,3,3
1,0,v2,36,5,3,2,64,59,5,3,3
1,0,v2,37,5,3,2,66,62,4,3,3
1,0,v2,38,5,3,2,71,65,6,3,3
1,0,v2,39,5,3,2,76,68,8,3,3
1,0,v2,40,5,3,2,64,71,-7,3,3
1,0,v2,41,5,3,2,66,74,-8,3,3
1,0,v2,42,5,3,2,62,77,-15,3,3
1,0,v2,43,8,3,5,54,80,-26,4,3
1,0,v2,44,8,3,5,62,83,-21,4,3
1,0,v2,45,8,4,4,70,77,-7,4,4
1,0,v2,46,8,4,4,75,81,-6,4,4
1,0,v2,47,9,4,5,75,85,-10,5,4
1,0,v2,48,9,4,5,83,89,-6,5,4
1,0,v2,49,9,4,5,89,93,-4,5,4
1,0,v2,50,9,4,5,82,97,-15,5,4
1,0,v2,51,9,5,4,91,92,-1,5,5
1,0,v2,52,9,5,4,86,97,-11,5,5
1,0,v2,53,9,5,4,92,102,-10,5,5
1,0,v2,54,9,5,4,101,107,-6,5,5
1,0,v2,55,9,5,4,101,103,-2,5,5
1,0,v2,56,9,5,4,110,108,2,5,5
1,0,v2,57,9,5,4,119,113,6,5,5
1,0,v2,58,9,5,4,128,118,10,5,5
1,0,v2,59,9,5,4,137,123,14,5,5
1,0,v2,60,9,5,4,146,128,18,5,5
1,0,v2,61,9,5,4,155,133,22,5,5
1,0,v2,62,9,5,4,164,138,26,5,5
1,0,v2,63,9,5,4,173,143,30,5,5
1,0,v2,64,8,6,2,163,129,34,4,6
1,0,v2,65,8,7,1,171,129,42,4,7
1,0,v2,66,8,7,1,179,136,43,4,7
1,0,v2,67,8,7,1,187,143,44,4,7
1,0,v2,68,8,7,1,174,148,26,4,7
1,0,v2,69,8,10,-2,182,154,28,4,8
1,0,v2,70,8,10,-2,190,164,26,4,8
1,0,v2,71,8,10,-2,198,174,24,4,8
1,0,v2,72,8,10,-2,206,184,22,4,8
1,0,v2,73,8,11,-3,214,180,34,4,9
1,0,v2,74,8,12,-4,222,177,45,4,10
1,0,v2,75,12,12,0,202,189,13,5,10
1,0,v2,76,12,12,0,214,201,13,5,10
1,0,v2,77,12,12,0,226,213,13,5,10
1,0,v2,78,12,12,0,238,225,13,5,10
1,0,v2,79,12,12,0,250,237,13,5,10
1,0,v2,80,12,12,0,262,249,13,5,10
1,0,v2,81,12,12,0,274,261,13,5,10
1,0,v2,82,12,12,0,286,273,13,5,10
1,0,v2,83,12,12,0,298,285,13,5,10
1,0,v2,84,12,12,0,310,261,49,5,10
1,0,v2,85,12,12,0,322,273,49,5,10
1,0,v2,86,12,12,0,334,285,49,5,10
